,title,gross_worldwide
611,Brother Bear,"$250,397,798"
612,The Mask of Zorro,"$250,288,523"
613,The Ring,"$249,348,933"
614,The Blair Witch Project,"$248,639,099"
615,Unbreakable,"$248,118,121"
616,Journey to the West: The Demons Strike Back,"$247,585,244"
617,Dumb and Dumber,"$247,275,374"
618,Glass,"$246,999,039"
619,Grown Ups 2,"$246,984,278"
620,The Peanuts Movie,"$246,233,113"
621,Back to the Future Part III,"$246,145,853"
622,The Godfather,"$246,120,974"
623,Rango,"$245,724,603"
624,Four Weddings and a Funeral,"$245,700,832"
625,Face/Off,"$245,676,146"
626,Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848"
627,Dark Shadows,"$245,527,149"
628,Hulk,"$245,285,165"
629,The Bravest,"$245,179,562"
630,Love Actually,"$244,931,766"
631,Pixels,"$244,874,809"
632,Hercules,"$244,819,862"
633,Rush Hour,"$244,721,064"
634,Journey to the Center of the Earth,"$244,232,688"
635,After Earth,"$243,611,982"
636,Dolittle,"$243,321,264"
637,A Few Good Men,"$243,240,178"
638,Cloudy with a Chance of Meatballs,"$243,006,126"
639,8 Mile,"$242,875,078"
640,Daddy's Home,"$242,786,137"
641,RoboCop,"$242,688,965"
642,Eraser,"$242,295,562"
643,Alien: Covenant,"$240,891,763"
644,Sully,"$240,797,623"
645,Assassin's Creed,"$240,697,856"
646,Click,"$240,685,326"
647,Die Hard 2,"$240,247,433"
648,Resident Evil: Retribution,"$240,159,255"
649,Crocodile Dundee II,"$239,606,210"
650,Planes,"$239,258,712"
651,Crazy Rich Asians,"$238,538,736"
652,Batman & Robin,"$238,235,915"
653,Gulliver's Travels,"$237,382,724"
654,Gone in 60 Seconds,"$237,202,299"
655,Saturday Night Fever,"$237,113,184"
656,Silver Linings Playbook,"$236,412,453"
657,2 Fast 2 Furious,"$236,350,661"
658,Howl's Moving Castle,"$236,212,992"
659,Hidden Figures,"$235,956,898"
660,A.I. Artificial Intelligence,"$235,926,552"
661,Dead Poets Society,"$235,860,116"
662,Spy,"$235,666,219"
663,American Pie,"$235,483,004"
664,American Reunion,"$234,989,584"
665,Big Daddy,"$234,801,895"
666,Alvin and the Chipmunks: The Road Chip,"$234,798,636"
667,The Imitation Game,"$233,555,708"
668,The Day the Earth Stood Still,"$233,093,859"
